,CO2,Aktive,Distanz,timestamp,Teamplatzierung
0,"1.473,1",77,10.021,1599560100.0,6
0,"1.483,5",77,10.092,1599567420.0,6
0,"1.483,5",77,10.092,1599568860.0,6
0,"1.483,5",77,10.092,1599569400.0,6
0,"1.483,5",77,10.092,1599570180.0,6
0,"1.483,5",77,10.092,1599570900.0,6
0,"1.483,5",77,10.092,1599571800.0,6
0,"1.483,5",77,10.092,1599572700.0,6
0,"1.483,5",77,10.092,1599573600.0,6
0,"1.483,5",77,10.092,1599575220.0,6
0,"1.483,5",77,10.092,1599577080.0,6
0,"1.486,4",78,10.112,1599577680.0,6
0,"1.486,4",78,10.112,1599581160.0,6
0,"1.493,5",78,10.160,1599588900.0,6
0,"1.493,5",78,10.160,1599589800.0,6
0,"1.493,5",78,10.160,1599590700.0,6
0,"1.493,5",78,10.160,1599591600.0,6
0,"1.493,5",78,10.160,1599592500.0,6
0,"1.493,5",78,10.160,1599593400.0,6
0,"1.493,5",78,10.160,1599594300.0,6
0,"1.493,5",78,10.160,1599595200.0,6
0,"1.510,6",78,10.276,1599596100.0,6
0,"1.510,6",78,10.276,1599597000.0,6
0,"1.510,6",78,10.276,1599597900.0,6
0,"1.510,6",78,10.276,1599598800.0,6
0,"1.510,6",78,10.276,1599599700.0,6
0,"1.510,6",78,10.276,1599600600.0,6
0,"1.510,6",78,10.276,1599601500.0,6
0,"1.510,6",78,10.276,1599602400.0,6
0,"1.595,2",78,10.851,1599603300.0,6
0,"1.595,2",78,10.851,1599604200.0,6
0,"1.595,2",78,10.851,1599605100.0,6
0,"1.595,2",78,10.851,1599606000.0,6
0,"1.595,2",78,10.851,1599606900.0,6
0,"1.595,2",78,10.851,1599607800.0,6
0,"1.595,2",78,10.851,1599608700.0,6
0,"1.595,2",78,10.851,1599609600.0,6
0,"1.597,2",78,10.865,1599610500.0,6
0,"1.597,2",78,10.865,1599611400.0,6
0,"1.597,2",78,10.865,1599612300.0,6
0,"1.597,2",78,10.865,1599613200.0,6
0,"1.597,2",78,10.865,1599614100.0,6
0,"1.597,2",78,10.865,1599615000.0,6
0,"1.597,2",78,10.865,1599615900.0,6
0,"1.597,2",78,10.865,1599616800.0,6
0,"1.599,7",78,10.882,1599617700.0,6
0,"1.599,7",78,10.882,1599618600.0,6
0,"1.599,7",78,10.882,1599619500.0,6
0,"1.599,7",78,10.882,1599620400.0,6
0,"1.599,7",78,10.882,1599621300.0,6
0,"1.599,7",78,10.882,1599622200.0,6
0,"1.599,7",78,10.882,1599623100.0,6
0,"1.599,7",78,10.882,1599624000.0,6
0,"1.599,7",78,10.882,1599624900.0,7
0,"1.599,7",78,10.882,1599625800.0,7
0,"1.599,7",78,10.882,1599626700.0,7
0,"1.599,7",78,10.882,1599627600.0,7
0,"1.599,7",78,10.882,1599628500.0,7
0,"1.599,7",78,10.882,1599629400.0,7
0,"1.599,7",78,10.882,1599630300.0,7
0,"1.599,7",78,10.882,1599631200.0,7
0,"1.605,5",78,10.922,1599632100.0,7
0,"1.605,5",78,10.922,1599633000.0,7
0,"1.605,5",78,10.922,1599633900.0,7
0,"1.605,5",78,10.922,1599634800.0,7
0,"1.605,5",78,10.922,1599635700.0,7
0,"1.605,5",78,10.922,1599636600.0,7
0,"1.605,5",78,10.922,1599637500.0,7
0,"1.605,5",78,10.922,1599638400.0,7
0,"1.618,6",78,11.011,1599639300.0,7
0,"1.618,6",78,11.011,1599640200.0,7
0,"1.618,6",78,11.011,1599641100.0,7
0,"1.618,6",78,11.011,1599642000.0,7
0,"1.618,6",78,11.011,1599642900.0,7
0,"1.618,6",78,11.011,1599643800.0,7
0,"1.618,6",78,11.011,1599644700.0,7
0,"1.618,6",78,11.011,1599645600.0,7
0,"1.654,9",78,11.258,1599646500.0,7
0,"1.654,9",78,11.258,1599647400.0,7
0,"1.654,9",78,11.258,1599648300.0,7
0,"1.654,9",78,11.258,1599649200.0,7
0,"1.654,9",78,11.258,1599650100.0,7
0,"1.654,9",78,11.258,1599651000.0,7
0,"1.654,9",78,11.258,1599651900.0,7
0,"1.654,9",78,11.258,1599652800.0,7
0,"1.667,8",78,11.346,1599653700.0,7
0,"1.667,8",78,11.346,1599654600.0,7
0,"1.667,8",78,11.346,1599655500.0,7
0,"1.667,8",78,11.346,1599656400.0,7
0,"1.667,8",78,11.346,1599657300.0,7
0,"1.667,8",78,11.346,1599658200.0,7
0,"1.667,8",78,11.346,1599659100.0,7
0,"1.667,8",78,11.346,1599660000.0,7
0,"1.692,7",78,11.515,1599660900.0,7
0,"1.692,7",78,11.515,1599661800.0,7
0,"1.692,7",78,11.515,1599662700.0,7
0,"1.692,7",78,11.515,1599663600.0,7
0,"1.692,7",78,11.515,1599664500.0,7
0,"1.692,7",78,11.515,1599665400.0,7
0,"1.692,7",78,11.515,1599666300.0,7
0,"1.692,7",78,11.515,1599667200.0,7
0,"1.733,3",78,11.791,1599668100.0,7
0,"1.733,3",78,11.791,1599669000.0,7
0,"1.733,3",78,11.791,1599669900.0,7
0,"1.733,3",78,11.791,1599670800.0,7
0,"1.733,3",78,11.791,1599671700.0,7
0,"1.733,3",78,11.791,1599672600.0,7
0,"1.733,3",78,11.791,1599673500.0,7
0,"1.733,3",78,11.791,1599674400.0,7
0,"1.779,8",79,12.108,1599675300.0,7
0,"1.779,8",79,12.108,1599676200.0,7
0,"1.779,8",79,12.108,1599677100.0,7
0,"1.779,8",79,12.108,1599678000.0,7
0,"1.779,8",79,12.108,1599678900.0,7
0,"1.779,8",79,12.108,1599679800.0,7
0,"1.779,8",79,12.108,1599680700.0,7
0,"1.779,8",79,12.108,1599681600.0,7
0,"1.817,8",79,12.366,1599682500.0,7
0,"1.817,8",79,12.366,1599683400.0,7
0,"1.817,8",79,12.366,1599684300.0,7
0,"1.817,8",79,12.366,1599685200.0,7
0,"1.817,8",79,12.366,1599686100.0,7
0,"1.817,8",79,12.366,1599687000.0,7
0,"1.817,8",79,12.366,1599687900.0,7
0,"1.817,8",79,12.366,1599688800.0,7
